player,season,top10_home_games_played,top10_home_points_avg,top10_home_rebounds_avg,top10_home_assists_avg,top10_home_steals_avg,top10_home_blocks_avg,top10_home_turnovers_avg,top10_away_games_played,top10_away_points_avg,top10_away_rebounds_avg,top10_away_assists_avg,top10_away_steals_avg,top10_away_blocks_avg,top10_away_turnovers_avg,mid_home_games_played,mid_home_points_avg,mid_home_rebounds_avg,mid_home_assists_avg,mid_home_steals_avg,mid_home_blocks_avg,mid_home_turnovers_avg,mid_away_games_played,mid_away_points_avg,mid_away_rebounds_avg,mid_away_assists_avg,mid_away_steals_avg,mid_away_blocks_avg,mid_away_turnovers_avg,bottom10_home_games_played,bottom10_home_points_avg,bottom10_home_rebounds_avg,bottom10_home_assists_avg,bottom10_home_steals_avg,bottom10_home_blocks_avg,bottom10_home_turnovers_avg,bottom10_away_games_played,bottom10_away_points_avg,bottom10_away_rebounds_avg,bottom10_away_assists_avg,bottom10_away_steals_avg,bottom10_away_blocks_avg,bottom10_away_turnovers_avg
CJ McCollum,2023-24,11.0,19.09,3.73,4.0,1.09,0.82,0.0,11.0,17.64,3.91,4.64,1.0,0.73,0.0,8.0,17.5,5.12,4.25,1.75,0.88,0.0,10.0,21.7,4.8,4.3,0.7,0.5,0.0,14.0,21.86,4.64,5.79,0.64,0.5,0.0,12.0,21.25,4.0,4.33,0.75,0.42,0.0
T.J. McConnell,2023-24,10.0,9.9,2.2,4.8,1.3,0.0,0.0,14.0,10.79,3.0,5.43,1.07,0.14,0.0,13.0,9.0,2.62,5.54,0.85,0.0,0.0,12.0,11.33,2.67,6.58,0.75,0.17,0.0,12.0,10.0,3.42,5.5,1.08,0.25,0.0,10.0,10.4,2.0,4.9,1.1,0.1,0.0
Jaden McDaniels,2023-24,9.0,11.67,3.44,1.22,0.89,1.33,0.0,11.0,10.27,2.82,1.18,0.36,0.64,0.0,12.0,10.33,3.25,1.75,0.83,0.75,0.0,10.0,10.3,3.6,2.0,1.0,0.5,0.0,14.0,9.36,2.5,1.57,0.86,0.43,0.0,16.0,11.31,3.25,0.88,1.19,0.19,0.0
Jalen McDaniels,2023-24,9.0,2.67,1.44,0.44,0.33,0.22,0.0,10.0,7.0,2.1,1.4,0.6,0.1,0.0,6.0,2.83,0.67,0.67,0.17,0.17,0.0,7.0,2.71,1.43,0.71,0.43,0.0,0.0,9.0,0.67,0.56,0.44,0.0,0.0,0.0,9.0,3.67,2.89,0.67,0.67,0.22,0.0
Doug McDermott,2023-24,7.0,4.71,0.57,1.86,0.29,0.0,0.0,10.0,3.9,1.3,1.0,0.3,0.0,0.0,11.0,6.09,1.18,1.09,0.0,0.18,0.0,13.0,4.92,0.77,1.0,0.31,0.0,0.0,12.0,4.92,0.83,0.92,0.08,0.0,0.0,11.0,8.09,0.82,1.0,0.55,0.0,0.0
Bryce McGowens,2023-24,10.0,3.9,1.4,0.6,0.1,0.0,0.0,11.0,6.36,2.0,1.09,0.27,0.36,0.0,12.0,2.33,1.17,0.75,0.08,0.0,0.0,12.0,4.67,1.75,0.83,0.5,0.08,0.0,6.0,7.83,2.67,0.33,0.67,0.33,0.0,8.0,7.75,1.88,1.5,0.75,0.38,0.0
Jordan McLaughlin,2023-24,9.0,2.78,0.89,1.67,0.22,0.11,0.0,7.0,3.86,1.43,1.57,0.43,0.0,0.0,8.0,1.75,1.0,2.62,0.75,0.38,0.0,9.0,2.89,1.0,1.67,0.78,0.33,0.0,10.0,5.6,1.8,3.2,0.8,0.0,0.0,13.0,3.62,1.46,1.23,0.69,0.0,0.0
De'Anthony Melton,2023-24,6.0,9.83,4.0,2.0,0.83,0.0,0.0,5.0,12.4,4.0,3.0,1.4,0.8,0.0,7.0,10.57,4.0,3.57,1.29,0.29,0.0,6.0,10.5,3.67,2.33,2.17,0.33,0.0,7.0,8.14,2.14,3.86,1.86,0.29,0.0,7.0,15.14,4.57,3.0,1.86,0.86,0.0
Sam Merrill,2023-24,11.0,8.64,1.82,1.36,0.18,0.0,0.0,10.0,7.2,1.9,1.8,0.1,0.0,0.0,9.0,8.44,1.78,1.78,0.56,0.0,0.0,10.0,10.1,2.0,1.5,0.4,0.1,0.0,10.0,8.4,2.6,2.4,0.5,0.2,0.0,11.0,5.18,1.73,1.82,0.18,0.09,0.0
Vasilije Micić,2023-24,13.0,6.15,1.0,5.38,0.54,0.08,0.0,17.0,5.71,0.88,3.65,0.35,0.12,0.0,10.0,8.0,2.5,5.1,0.6,0.1,0.0,5.0,9.8,1.8,4.0,0.8,0.2,0.0,7.0,9.0,1.71,4.71,0.43,0.14,0.0,8.0,6.62,1.75,3.25,0.62,0.12,0.0
Khris Middleton,2023-24,8.0,14.12,4.0,7.0,1.5,0.25,0.0,6.0,13.33,5.33,5.17,0.83,0.5,0.0,11.0,14.45,6.27,4.55,1.0,0.09,0.0,12.0,15.5,3.67,4.67,0.83,0.25,0.0,6.0,14.83,4.33,5.83,0.5,0.17,0.0,12.0,16.75,4.5,5.33,0.83,0.42,0.0
Brandon Miller,2023-24,13.0,15.62,4.62,2.46,0.38,0.54,0.0,11.0,15.09,3.55,2.73,1.64,0.27,0.0,15.0,21.13,4.6,2.6,0.73,0.73,0.0,13.0,16.08,4.23,1.54,0.54,0.31,0.0,12.0,18.0,4.5,2.33,1.25,0.67,0.0,10.0,16.8,3.8,2.6,1.0,0.9,0.0
Jordan Miller,2023-24,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonard Miller,2023-24,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.4,1.0,0.8,0.0,0.0,0.0,1.0,5.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.5,1.25,0.0,0.25,0.25,0.0,4.0,2.75,0.75,0.5,0.0,0.0,0.0
Patty Mills,2023-24,6.0,3.33,0.83,1.17,0.67,0.0,0.0,8.0,5.75,1.75,2.25,0.75,0.12,0.0,6.0,2.0,0.83,0.33,0.33,0.0,0.0,2.0,1.0,0.0,1.0,0.5,0.0,0.0,5.0,6.0,1.0,0.4,0.8,0.0,0.0,5.0,3.4,1.2,0.6,0.6,0.0,0.0
Shake Milton,2023-24,7.0,4.43,0.86,1.0,0.71,0.14,0.0,6.0,5.67,1.67,1.67,0.17,0.17,0.0,7.0,2.29,1.14,1.14,0.29,0.14,0.0,9.0,4.89,1.33,1.11,0.44,0.0,0.0,7.0,3.57,1.14,0.71,0.43,0.14,0.0,12.0,5.5,2.58,1.67,0.33,0.17,0.0
Justin Minaya,2023-24,4.0,0.75,1.75,0.75,0.25,0.0,0.0,7.0,2.43,1.14,0.71,0.14,0.43,0.0,6.0,1.5,1.33,0.33,0.17,0.17,0.0,4.0,3.25,2.5,0.75,0.0,0.25,0.0,8.0,1.62,1.75,0.5,0.12,0.12,0.0,5.0,1.2,1.8,0.8,1.0,0.8,0.0
Josh Minott,2023-24,4.0,1.5,0.0,0.25,0.0,0.25,0.0,5.0,3.4,0.2,0.0,0.2,0.2,0.0,2.0,2.0,1.5,0.5,0.5,0.0,0.0,4.0,1.25,0.75,0.25,0.0,0.25,0.0,8.0,0.75,0.25,0.12,0.25,0.25,0.0,9.0,1.33,0.89,0.44,0.11,0.0,0.0
Davion Mitchell,2023-24,10.0,4.3,1.2,1.1,0.3,0.1,0.0,13.0,6.23,1.54,2.38,0.46,0.0,0.0,10.0,6.1,1.7,1.9,0.1,0.0,0.0,11.0,3.45,1.27,1.73,0.27,0.0,0.0,15.0,5.6,1.07,1.8,0.07,0.0,0.0,13.0,5.54,1.23,2.08,0.23,0.15,0.0
Donovan Mitchell,2023-24,6.0,28.83,4.0,7.5,2.5,0.33,0.0,8.0,25.12,6.62,5.88,1.0,0.25,0.0,11.0,28.91,5.18,6.64,2.0,0.27,0.0,9.0,23.89,4.56,6.44,1.78,0.56,0.0,9.0,31.11,5.11,6.0,2.0,0.78,0.0,12.0,23.0,4.92,4.67,1.83,0.92,0.0
Evan Mobley,2023-24,7.0,13.14,10.71,2.86,1.14,1.86,0.0,6.0,17.33,7.0,2.0,0.5,1.17,0.0,14.0,14.36,10.29,3.79,0.64,1.5,0.0,7.0,16.57,9.43,3.71,1.14,1.43,0.0,5.0,15.6,8.4,4.2,1.6,0.6,0.0,11.0,17.64,9.0,2.55,0.82,1.64,0.0
Malik Monk,2023-24,11.0,17.45,3.18,4.73,0.73,0.45,0.0,13.0,15.62,3.08,3.54,0.46,0.38,0.0,10.0,13.6,2.7,4.7,0.6,0.5,0.0,10.0,13.8,2.8,5.1,0.4,0.5,0.0,14.0,16.43,3.07,6.57,0.79,0.79,0.0,14.0,15.07,2.79,5.86,0.71,0.57,0.0
Moses Moody,2023-24,10.0,6.8,2.4,0.8,0.5,0.4,0.0,7.0,5.86,2.29,0.71,0.29,0.29,0.0,9.0,8.33,2.67,0.33,0.67,0.33,0.0,11.0,11.64,3.64,1.64,1.18,0.45,0.0,14.0,8.43,3.36,0.5,0.57,0.36,0.0,15.0,6.87,3.0,1.07,0.53,0.33,0.0
Tazé Moore,2023-24,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.5,0.0,0.0
Wendell Moore Jr.,2023-24,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.33,0.33,0.33,0.33,0.0,0.0,3.0,1.33,1.67,0.67,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.4,0.2,0.4,0.0,0.0,7.0,0.29,0.43,0.14,0.14,0.14,0.0
Ja Morant,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.67,5.33,6.67,0.33,0.0,0.0,2.0,24.5,6.0,10.5,0.5,0.5,0.0,1.0,26.0,5.0,10.0,1.0,0.0,0.0,3.0,28.67,5.67,7.33,1.33,1.33,0.0
Markieff Morris,2023-24,4.0,2.75,1.5,0.5,0.0,0.0,0.0,4.0,2.0,1.5,0.5,0.5,0.25,0.0,3.0,1.33,0.67,0.33,0.0,0.0,0.0,5.0,1.6,0.8,0.4,0.0,0.0,0.0,3.0,1.67,2.33,0.67,0.67,0.33,0.0,7.0,4.29,2.0,1.0,0.14,0.14,0.0
Monté Morris,2023-24,5.0,5.8,1.4,2.8,1.0,0.2,0.0,5.0,5.2,1.2,1.4,0.0,0.2,0.0,8.0,5.25,2.12,1.5,0.38,0.25,0.0,2.0,3.5,1.5,2.0,0.5,0.5,0.0,9.0,3.78,1.78,2.56,0.78,0.33,0.0,4.0,6.5,2.0,2.25,0.75,0.25,0.0
Trey Murphy III,2023-24,9.0,9.89,5.0,2.0,0.78,0.33,0.0,8.0,15.25,4.62,2.88,0.75,0.5,0.0,7.0,13.71,6.14,1.57,0.71,0.57,0.0,11.0,19.45,4.18,2.55,0.55,0.09,0.0,11.0,13.91,5.0,2.18,1.45,0.82,0.0,11.0,15.27,4.91,1.82,1.0,0.64,0.0
Dejounte Murray,2023-24,14.0,24.21,5.79,7.43,1.71,0.29,0.0,13.0,21.08,4.23,6.31,1.46,0.31,0.0,12.0,22.42,5.92,6.5,1.58,0.08,0.0,14.0,20.71,5.14,4.93,0.79,0.43,0.0,13.0,21.69,5.62,6.69,1.08,0.46,0.0,12.0,24.92,5.33,6.83,2.0,0.25,0.0
Jamal Murray,2023-24,9.0,23.22,3.33,6.89,1.22,0.33,0.0,12.0,20.08,3.42,5.42,0.92,0.92,0.0,10.0,20.9,3.6,6.7,0.9,0.5,0.0,8.0,20.88,5.12,5.62,1.0,0.75,0.0,12.0,19.58,4.25,6.92,0.83,0.83,0.0,8.0,23.62,5.38,7.75,1.0,0.5,0.0
Keegan Murray,2023-24,11.0,21.55,5.36,1.64,1.27,0.45,0.0,13.0,13.08,5.23,1.62,0.92,1.0,0.0,10.0,16.6,6.9,1.5,1.2,0.7,0.0,11.0,14.0,5.18,1.64,0.91,1.09,0.0,17.0,15.41,5.41,1.71,1.18,0.41,0.0,15.0,12.2,5.0,1.87,0.73,1.0,0.0
Kris Murray,2023-24,11.0,5.0,3.73,1.27,0.82,0.45,0.0,12.0,5.75,2.92,1.33,1.0,0.17,0.0,9.0,8.67,4.78,1.56,0.89,0.22,0.0,10.0,5.3,3.9,1.0,1.0,0.4,0.0,10.0,8.4,3.7,2.0,0.9,0.4,0.0,10.0,3.7,2.9,0.6,0.5,0.4,0.0
Svi Mykhailiuk,2023-24,4.0,5.0,2.25,1.25,0.25,0.0,0.0,7.0,3.57,0.43,0.29,0.29,0.0,0.0,10.0,3.8,1.3,0.6,0.2,0.0,0.0,8.0,2.38,0.88,0.88,0.25,0.0,0.0,8.0,5.62,1.38,1.38,0.25,0.12,0.0,4.0,3.75,2.0,1.0,0.5,0.0,0.0
Pete Nance,2023-24,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Larry Nance Jr.,2023-24,7.0,7.14,6.29,2.0,1.71,0.43,0.0,13.0,5.92,5.15,1.0,1.0,0.38,0.0,11.0,4.36,4.09,1.18,0.18,0.18,0.0,10.0,6.2,4.5,2.4,1.6,0.6,0.0,11.0,5.82,5.09,2.09,0.82,0.18,0.0,9.0,5.44,5.56,2.89,1.0,0.11,0.0
Andrew Nembhard,2023-24,12.0,10.08,1.92,4.33,0.83,0.17,0.0,14.0,8.14,1.57,3.93,0.71,0.07,0.0,9.0,9.78,1.78,2.67,1.0,0.11,0.0,12.0,8.67,2.5,4.5,1.08,0.08,0.0,13.0,9.08,2.77,4.77,0.92,0.08,0.0,8.0,10.12,1.75,4.12,1.12,0.0,0.0
Aaron Nesmith,2023-24,14.0,13.0,4.43,1.5,1.21,0.71,0.0,14.0,13.0,4.64,1.36,1.0,0.79,0.0,11.0,10.0,2.91,1.64,0.91,0.82,0.0,12.0,13.25,3.92,1.42,0.67,0.58,0.0,10.0,12.7,3.6,1.4,1.1,0.6,0.0,11.0,10.64,3.0,1.73,0.45,0.55,0.0
Georges Niang,2023-24,12.0,12.58,2.92,1.17,0.25,0.5,0.0,13.0,7.54,3.85,1.0,0.54,0.08,0.0,16.0,8.81,3.25,1.25,0.19,0.19,0.0,15.0,9.47,3.4,1.27,0.4,0.33,0.0,13.0,10.38,3.77,1.54,0.62,0.15,0.0,13.0,7.77,3.15,0.92,0.23,0.08,0.0
Daishen Nix,2023-24,2.0,2.5,0.5,0.0,0.5,0.0,0.0,3.0,3.67,0.33,0.67,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,1.67,0.0,0.0,0.67,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.5,0.0,0.25,0.25,0.0,0.0
Zeke Nnaji,2023-24,8.0,2.0,1.75,0.5,0.5,0.38,0.0,10.0,5.2,2.6,0.4,0.3,0.6,0.0,10.0,4.2,2.6,0.4,0.4,1.0,0.0,8.0,3.12,2.62,1.0,0.12,1.12,0.0,10.0,2.6,1.4,0.4,0.0,0.6,0.0,12.0,2.08,2.08,0.67,0.25,0.33,0.0
Jaylen Nowell,2023-24,3.0,4.0,2.33,2.0,0.0,0.0,0.0,2.0,7.0,2.0,1.5,0.5,0.5,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,19.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.2,1.8,1.4,0.4,0.2,0.0
Jusuf Nurkić,2023-24,14.0,12.0,10.07,3.93,1.07,0.64,0.0,12.0,9.5,9.83,4.33,1.25,1.0,0.0,11.0,12.09,11.18,2.73,0.55,0.91,0.0,11.0,10.0,10.64,4.45,1.09,1.09,0.0,14.0,11.71,13.5,4.14,0.93,1.57,0.0,14.0,10.0,10.64,4.07,1.43,1.07,0.0
Royce O'Neale,2023-24,15.0,8.33,4.73,2.27,0.6,0.73,0.0,15.0,5.13,3.67,2.93,0.53,0.2,0.0,12.0,11.75,6.67,3.83,1.08,1.17,0.0,11.0,7.18,4.55,2.27,0.64,0.45,0.0,13.0,9.15,5.46,3.0,1.15,0.69,0.0,13.0,5.15,3.85,2.38,0.54,0.15,0.0
Chuma Okeke,2023-24,8.0,3.0,2.62,0.25,0.25,0.25,0.0,6.0,3.5,2.17,0.67,0.17,0.33,0.0,8.0,1.38,1.38,0.5,0.12,0.0,0.0,9.0,4.33,2.33,0.44,0.33,0.33,0.0,11.0,0.45,0.82,0.36,0.18,0.0,0.0,5.0,1.4,1.0,0.4,0.0,0.0,0.0
Josh Okogie,2023-24,11.0,6.73,2.09,1.0,1.0,0.64,0.0,8.0,6.75,3.25,0.88,1.25,0.38,0.0,9.0,2.11,1.89,1.22,0.67,0.44,0.0,10.0,4.4,2.8,1.1,0.8,0.3,0.0,10.0,3.8,2.4,1.1,0.6,0.5,0.0,12.0,4.0,3.0,1.08,0.58,0.17,0.0
Onyeka Okongwu,2023-24,8.0,9.5,8.12,1.88,0.25,1.12,0.0,11.0,11.18,6.55,1.64,0.55,1.09,0.0,10.0,9.6,5.3,1.2,0.4,0.8,0.0,8.0,8.5,6.5,1.5,0.5,1.88,0.0,10.0,10.8,7.3,0.9,0.5,1.2,0.0,8.0,11.25,7.62,1.0,0.62,0.5,0.0
Isaac Okoro,2023-24,9.0,8.0,3.44,2.22,0.56,0.78,0.0,9.0,6.33,1.89,1.33,0.78,0.67,0.0,16.0,10.81,2.94,2.12,0.56,0.38,0.0,14.0,10.5,2.36,1.64,0.79,0.29,0.0,12.0,9.58,3.83,1.67,1.25,0.33,0.0,9.0,9.22,3.56,2.56,1.11,0.78,0.0
Kelly Olynyk,2023-24,8.0,13.62,6.0,5.75,1.62,0.38,0.0,13.0,8.15,4.92,2.92,0.69,0.23,0.0,15.0,9.27,5.13,4.0,1.0,0.4,0.0,9.0,7.56,5.11,5.89,0.56,0.33,0.0,17.0,10.29,5.47,4.41,1.0,0.47,0.0,16.0,10.31,5.19,4.69,0.94,0.44,0.0
Kelly Oubre Jr.,2023-24,10.0,14.5,5.4,1.4,1.2,0.7,0.0,11.0,16.64,4.64,1.45,1.09,0.91,0.0,12.0,16.67,5.75,0.92,1.17,0.5,0.0,13.0,13.69,5.0,2.15,1.23,0.85,0.0,12.0,13.25,4.08,0.58,0.83,0.67,0.0,10.0,18.4,5.3,2.5,1.3,0.5,0.0
Chris Paul,2023-24,10.0,8.9,3.5,7.8,1.3,0.2,0.0,6.0,6.0,3.0,4.83,1.0,0.0,0.0,7.0,13.29,3.29,5.14,0.43,0.14,0.0,9.0,9.0,3.44,5.67,1.56,0.11,0.0,12.0,8.17,4.58,8.92,1.42,0.08,0.0,14.0,9.71,4.5,6.57,1.21,0.07,0.0
Cameron Payne,2023-24,10.0,6.9,2.1,1.5,0.4,0.1,0.0,12.0,6.33,0.75,2.08,0.58,0.25,0.0,18.0,6.89,0.83,2.72,0.39,0.06,0.0,15.0,8.87,1.73,2.8,0.27,0.4,0.0,11.0,7.36,2.45,3.45,1.09,0.0,0.0,12.0,7.92,1.58,3.0,0.67,0.0,0.0
Gary Payton II,2023-24,7.0,4.43,3.43,1.14,0.43,0.14,0.0,6.0,5.0,3.17,1.83,0.83,0.33,0.0,9.0,4.11,1.44,0.67,0.33,0.11,0.0,8.0,6.0,2.38,1.12,1.12,0.75,0.0,4.0,4.25,2.5,1.0,1.5,0.5,0.0,10.0,7.7,2.8,1.0,1.3,0.6,0.0
Drew Peterson,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Phillips,2023-24,10.0,2.0,1.6,1.0,0.2,0.0,0.0,8.0,2.12,0.75,0.12,0.25,0.5,0.0,6.0,4.17,0.83,0.17,0.33,0.17,0.0,8.0,1.5,0.62,0.0,0.0,0.12,0.0,4.0,0.5,0.0,0.0,0.25,0.0,0.0,4.0,3.25,1.0,0.25,0.0,0.25,0.0
Jalen Pickett,2023-24,6.0,1.33,0.33,1.0,0.0,0.0,0.0,4.0,2.5,1.0,1.0,0.25,0.0,0.0,5.0,2.2,0.8,1.0,0.4,0.0,0.0,2.0,1.0,0.5,1.0,0.0,0.0,0.0,7.0,1.14,0.0,0.29,0.0,0.0,0.0,3.0,1.0,1.0,0.67,0.33,0.0,0.0
Scotty Pippen Jr.,2023-24,3.0,16.33,3.0,5.33,1.67,0.33,0.0,5.0,15.0,4.0,4.6,0.6,0.2,0.0,3.0,12.0,2.67,7.0,2.0,1.0,0.0,3.0,6.0,2.33,2.33,0.33,0.33,0.0,5.0,15.0,4.0,5.2,2.8,0.8,0.0,2.0,9.0,1.5,2.5,3.5,0.0,0.0
Mason Plumlee,2023-24,8.0,2.88,3.62,1.5,0.12,0.25,0.0,8.0,5.5,4.75,0.38,0.25,0.25,0.0,2.0,7.5,4.5,1.5,0.0,0.5,0.0,6.0,5.0,4.83,1.67,0.33,0.33,0.0,12.0,6.83,6.5,1.92,0.33,0.58,0.0,10.0,5.0,5.1,0.4,0.5,0.3,0.0
Brandin Podziemski,2023-24,12.0,9.08,5.0,3.42,0.83,0.08,0.0,11.0,9.36,5.18,4.36,1.18,0.09,0.0,12.0,10.42,6.17,3.58,0.5,0.08,0.0,10.0,8.2,6.0,4.0,1.2,0.5,0.0,15.0,8.47,6.47,3.8,0.53,0.27,0.0,14.0,9.71,5.64,3.14,0.86,0.14,0.0
Jakob Poeltl,2023-24,11.0,8.09,8.64,2.27,0.64,1.82,0.0,7.0,13.0,8.86,2.57,0.57,1.14,0.0,8.0,13.0,8.0,3.0,1.12,1.5,0.0,10.0,10.0,8.3,2.7,0.2,0.9,0.0,7.0,13.71,8.29,2.43,0.71,2.0,0.0,7.0,10.71,9.57,2.29,1.14,1.86,0.0
Jordan Poole,2023-24,15.0,17.27,2.8,4.4,1.2,0.33,0.0,13.0,17.15,2.08,4.0,1.0,0.31,0.0,12.0,17.33,3.25,5.33,1.25,0.42,0.0,16.0,18.56,3.06,4.12,1.38,0.31,0.0,11.0,16.64,2.55,5.0,0.55,0.27,0.0,11.0,16.91,2.45,3.64,1.09,0.27,0.0
Craig Porter Jr.,2023-24,9.0,7.56,2.0,2.22,0.44,0.67,0.0,6.0,5.5,1.67,3.0,0.33,0.5,0.0,9.0,3.89,1.33,1.56,0.44,0.33,0.0,10.0,6.1,3.8,3.1,0.7,0.2,0.0,9.0,8.22,2.56,3.67,0.44,0.11,0.0,8.0,1.75,1.0,0.25,0.0,0.0,0.0
Michael Porter Jr.,2023-24,13.0,15.77,6.15,1.62,0.38,0.85,0.0,13.0,13.54,6.08,1.15,0.46,0.31,0.0,12.0,20.08,5.92,1.58,0.58,0.75,0.0,12.0,13.5,6.67,1.33,0.5,0.75,0.0,16.0,18.0,8.19,1.62,0.56,0.56,0.0,15.0,18.93,8.27,1.67,0.6,0.73,0.0
Bobby Portis,2023-24,13.0,13.46,7.08,1.38,0.62,0.31,0.0,11.0,14.64,7.0,1.0,0.55,0.27,0.0,18.0,16.11,7.28,1.33,0.5,0.39,0.0,16.0,12.62,8.0,1.31,1.25,0.44,0.0,11.0,17.0,8.36,1.36,1.36,0.55,0.0,13.0,8.85,6.69,1.15,0.77,0.54,0.0
Kristaps Porziņģis,2023-24,9.0,20.33,7.44,1.56,0.78,1.11,0.0,8.0,21.62,6.88,2.25,0.75,1.88,0.0,10.0,19.7,7.2,1.7,0.5,0.9,0.0,13.0,17.15,6.31,2.46,0.62,2.54,0.0,9.0,20.67,7.78,2.11,0.89,2.44,0.0,8.0,22.88,7.88,1.88,1.0,2.75,0.0
